Flash Recovery,Volts After,Formulation
4.49,1.342,Old
4.89,1.449,Old
4.69,1.103,Old
5.14,1.307,Old
4.8,1.303,Old
4.12,1.246,New
3.7,1.35,New
4,1.368,New
3.8,1.222,New
3.99,1.321,New
5.68,1.182,Old
5.88,1.141,Old
5.73,1.406,Old
5.83,1.085,Old
5.95,1.068,Old
4.81,1.243,New
4.56,1.252,New
4.78,1.314,New
4.97,1.174,New
4.85,0.99,New
6.59,1.21,Old
6.07,1.261,Old
6.36,1.31,Old
6.4,1.075,Old
6.42,1.087,Old
4.94,1.096,New
5.11,1.456,New
5.17,1.101,New
5.07,1.032,New
5.31,1.176,New
6.88,1.095,Old
6.69,1.124,Old
7.01,1.075,Old
7.08,0.967,Old
7.16,1.121,Old
5.34,1.143,New
5.46,1.105,New
5.61,1.124,New
5.36,1.141,New
5.3,1.098,New
